Lando Norris	394
Max Verstappen	389
Oscar Piastri	381
George Russell	289
Charles Leclerc	225
Andrea Kimi	135
Lewis Hamilton	135
Alexander Albon	70
Carlos Sainz	54
Fernando Alonso	51
Nicolas Hülkenberg	51
Isack Hadjar	50
Oliver Bearman	39
Liam Lawson	38
Esteban Ocon	34
Lance Stroll	29
Yuki Tsunoda	21
Pierre Gasly	20
Gabriel Bortoleto	19
Jack Doohan	0
Franco Colapinto	0
